"site","date","amplitude_ratio","phase_lag","mean_offset","mean_ratio","R2_water","R2_air"
"Crane Creek",2023-03-21,0.642411299891184,2.29892825181723,8.22541666628404,-1.78042253547248,0.980187202910276,0.824486824214304
"Crane Creek",2023-03-22,0.330405806194573,3.49007888267594,8.37374999952152,-1.41550480796019,0.91572615233311,0.890117382377332
"Crane Creek",2023-03-23,0.632464268056762,4.09999866455759,7.05666666664338,-3.48042328047473,0.973590339483535,0.562330468205924
"Crane Creek",2023-03-24,0.239796141636531,10.7846023099023,8.13333333282685,-1.41285537757468,0.373679888497054,0.648864847516089
"Crane Creek",2023-03-25,1.22899792508555,4.25040265793294,10.3049999996801,-0.634633179063591,0.9551722794481,0.546723099691873
"Crane Creek",2023-03-26,0.827633874467194,3.67703623283395,11.9199999988389,-0.593760445774631,0.968754936526,0.605232030219722
"Crane Creek",2023-03-27,0.451062008239653,3.90398541389958,12.2695833296622,-0.538505746903754,0.937932138943503,0.787543288855301
"Crane Creek",2023-03-28,0.308413979795443,2.61192805266091,10.1529166603727,-0.747991390689554,0.980369673673031,0.894544211754829
"Crane Creek",2023-03-29,0.353667516918749,2.5445797118157,7.34625000519474,-3.30024389240357,0.968144957063346,0.958890149769921
"Crane Creek",2023-03-30,0.556896065479732,4.10369112721287,7.44374999902085,-3.92148759752847,0.825270252352633,0.82668735763818
"Crane Creek",2023-03-31,0.901285878193248,3.23679536970753,7.54916666635471,-3.46256157617027,0.968699047115808,0.886394948131561
"Crane Creek",2023-04-02,1.30529174551195,4.05540187011286,6.97083333333818,-2.46376811594444,0.964857059676239,0.359728975081614
"Crane Creek",2023-04-03,0.489256670419279,3.39519591759499,7.72583333234101,-1.72276064671114,0.970275161372571,0.845421104455855
"Crane Creek",2023-04-04,0.781167279371527,3.32019348092396,9.2812499924614,-1.23644578594788,0.964883304481498,0.838437872144402
"Crane Creek",2023-04-05,0.821991591157647,3.47187231314655,10.8116666599864,-0.849465432189529,0.966526084454987,0.665827761546501
"Crane Creek",2023-04-06,0.644559965474306,3.96398365364117,9.33749999975795,-1.43586956515425,0.971320196543153,0.705577144203967
"Crane Creek",2023-04-07,0.300441718564387,2.70213682537504,7.4904166582599,-2.90804349101595,0.985092999669166,0.907348312717773
"Crane Creek",2023-04-08,0.441551072914203,3.05361223023307,5.70291667863457,5.78566435503274,0.965020394213056,0.921897647503192
"Crane Creek",2023-04-09,0.562615672396918,3.11562687637475,5.00666666814646,3.04006791354785,0.975606752512068,0.866770781700053
"Crane Creek",2023-04-10,0.397752122598258,3.47056257818577,2.1491666665092,1.39434250761637,0.96719120309571,0.835803946424076
"Crane Creek",2023-04-11,0.376666527049022,2.97229397233789,1.92666666564739,1.32313067759653,0.96199433510887,0.948962806912418
"Crane Creek",2023-04-12,0.370186809498515,4.72434138172408,1.79958331191669,1.31094311969889,0.935153640127741,0.819561259708876
"Crane Creek",2023-04-13,1.03351262781557,-10.9058626748668,6.89958386801706,1657.11462740965,0.658255584604695,0.260436745339216
"Crane Creek",2023-04-14,0.635766128530471,3.97336691501399,8.3125,-2.15664556962025,0.971648717401487,0.731774493053983
"Crane Creek",2023-04-15,0.435681116322107,2.50302714736544,8.5874999960477,-2.85233644494664,0.962780452176079,0.921661177973103
"Crane Creek",2023-04-16,0.437965462373244,2.67590841789998,5.61624999928441,5.22539184671656,0.967248746226023,0.89522409635241
"Crane Creek",2023-04-17,0.410291775202058,2.66118626055438,3.53874999966853,1.83510324473092,0.978167512989315,0.949613414362382
"Crane Creek",2023-04-18,0.208419589339538,6.29757040072427,5.75458333264164,8.15595858295227,0.267575950159748,0.49603245131819
"Crane Creek",2023-04-19,0.956257999434768,3.0330499593065,9.07124999598149,-1.61670673266473,0.95838928920956,0.692621967046313
"Crane Creek",2023-04-20,0.562074177953243,3.60743100568379,10.4195833322852,-1.36584673679468,0.964127586777749,0.897559126534935
"Crane Creek",2023-04-21,0.477699383145671,3.63412026160514,8.82249999782083,-2.26759259428238,0.964133257723602,0.895038082058678
